geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type
IA,uninsured,wk3_4,black,0.19896363634241498,0.08721712041718722,0.17094555601768696,0.028018080324728023,0.36990919236010195,state
IA,uninsured,wk3_4,hispanic,0.1390819085122874,0.11728640073100986,0.22988134543277933,-0.09079943692049192,0.36896325394506674,state
IA,uninsured,wk3_4,other,0.07409225236329037,0.04374460360040807,0.08573942305679981,-0.011647170693509443,0.1598316754200902,state
IA,uninsured,wk3_4,white,0.03337289707857854,0.005815125784338678,0.011397646537303808,0.021975250541274728,0.04477054361588235,state
ID,uninsured,wk3_4,asian,0.01017473151737179,0.01109782676241373,0.02175174045433091,-0.011577008936959118,0.0319264719717027,state
ID,uninsured,wk3_4,black,0,0,0,0,0,state
ID,uninsured,wk3_4,hispanic,0.08355381092537129,0.03195459130692092,0.062630998961565,0.020922811963806284,0.14618480988693627,state
ID,uninsured,wk3_4,other,0.07154060974301543,0.044862321143716674,0.08793014944168467,-0.016389539698669242,0.1594707591847001,state
ID,uninsured,wk3_4,white,0.09580470327655614,0.010951299026057425,0.021464546091072553,0.07434015718548359,0.1172692493676287,state
IL,uninsured,wk3_4,asian,0.1174216437579371,0.05051406626643052,0.09900756988220381,0.01841407387573328,0.2164292136401409,state
IL,uninsured,wk3_4,black,0.1307085359069422,0.03594325982596342,0.0704487892588883,0.060259746648053905,0.20115732516583051,state
IL,uninsured,wk3_4,hispanic,0.21023227615006723,0.04251433941749812,0.08332810525829631,0.12690417089177092,0.29356038140836355,state
IL,uninsured,wk3_4,other,0.028671683626715287,0.023764132232591856,0.04657769917588004,-0.017906015549164753,0.07524938280259533,state
IL,uninsured,wk3_4,white,0.040133244277517834,0.007705914406069013,0.015103592235895266,0.025029652041622566,0.0552368365134131,state
IN,uninsured,wk3_4,asian,0.05535441005237716,0.05215882227532061,0.10223129165962838,-0.046876881607251224,0.15758570171200553,state
IN,uninsured,wk3_4,black,0.0804022454205767,0.02476983508594801,0.0485488767684581,0.031853368652118595,0.1289511221890348,state
IN,uninsured,wk3_4,hispanic,0.1937534794848219,0.0522170968840586,0.10234550989275486,0.09140796959206705,0.2960989893775768,state
IN,uninsured,wk3_4,other,0.0734581405558999,0.041549835493643605,0.08143767756754146,-0.007979537011641558,0.15489581812344136,state
IN,uninsured,wk3_4,white,0.08132399082593574,0.00945046539509401,0.01852291217438426,0.06280107865155148,0.09984690300032,state
KS,uninsured,wk3_4,asian,0.00811259725153189,0.006166577902280352,0.01208649268846949,-0.0039738954369376005,0.02019908994000138,state
KS,uninsured,wk3_4,black,0.18760698769771778,0.07129020185736927,0.13972879564044377,0.047878192057274005,0.32733578333816155,state
KS,uninsured,wk3_4,hispanic,0.3092747660944421,0.06032279235120688,0.11823267300836549,0.19104209308607661,0.4275074391028076,state
KS,uninsured,wk3_4,other,0.07283511836546758,0.03856248445001248,0.07558246952202446,-0.0027473511565568876,0.14841758788749204,state
KS,uninsured,wk3_4,white,0.0949437034548623,0.013059688866925965,0.02559699017917489,0.06934671327568742,0.12054069363403719,state
KY,uninsured,wk3_4,asian,0.003567117841476564,0.004950308586559669,0.009702604829656953,-0.006135486988180389,0.013269722671133516,state
KY,uninsured,wk3_4,black,0.054288047614773155,0.021080710278345734,0.04131819214555764,0.012969855469215516,0.0956062397603308,state
KY,uninsured,wk3_4,hispanic,0.13998986414068898,0.09568212951685254,0.18753697385303097,-0.047547109712341995,0.32752683799371995,state
KY,uninsured,wk3_4,other,0.025332064036821266,0.018132233704189205,0.03553917806021084,-0.010207114023389575,0.06087124209703211,state
KY,uninsured,wk3_4,white,0.050137537985279576,0.009301613953587199,0.01823116334903091,0.031906374636248666,0.06836870133431049,state
LA,uninsured,wk3_4,asian,0.0032159490970937385,0.003334959624381815,0.006536520863788357,-0.003320571766694619,0.009752469960882096,state
LA,uninsured,wk3_4,black,0.1044079220045333,0.037430534364518556,0.07336384735445636,0.03104407465007694,0.17777176935898967,state
LA,uninsured,wk3_4,hispanic,0.27513249198312334,0.07400787161328691,0.14505542836204235,0.13007706362108098,0.4201879203451657,state
LA,uninsured,wk3_4,other,0.041004801744307005,0.03221425599404529,0.06313994174832877,-0.02213514000402176,0.10414474349263578,state
LA,uninsured,wk3_4,white,0.061401983961677356,0.01066302755739484,0.02089953401249389,0.040502449949183464,0.08230151797417125,state
MA,uninsured,wk3_4,asian,0.06929910806968759,0.03452972190851224,0.06767825494068398,0.001620853129003605,0.13697736301037156,state
MA,uninsured,wk3_4,black,0.13077725988777977,0.045152197177930745,0.08849830646874426,0.04227895341903551,0.21927556635652404,state
MA,uninsured,wk3_4,hispanic,0.10041168482534671,0.031041668804385046,0.06084167085659469,0.03957001396875202,0.1612533556819414,state
MA,uninsured,wk3_4,other,0.05861317245444343,0.029676276985860957,0.058165502892287474,4.4766956215595843e-4,0.1167786753467309,state
MA,uninsured,wk3_4,white,0.036061437190463064,0.008498511445473358,0.01665708243312778,0.019404354757335283,0.052718519623590844,state
MD,uninsured,wk3_4,asian,0.02383780350769499,0.021176180741647847,0.04150531425362978,-0.017667510745934787,0.06534311776132477,state
MD,uninsured,wk3_4,black,0.11729557670417419,0.028497609462369594,0.0558553145462444,0.06144026215792979,0.1731508912504186,state
MD,uninsured,wk3_4,hispanic,0.18016633384054914,0.05112514583012139,0.10020528582703793,0.07996104801351121,0.28037161966758706,state
MD,uninsured,wk3_4,other,0.04505896451276751,0.0283096292137764,0.05548687325900174,-0.010427908746234234,0.10054583777176926,state
MD,uninsured,wk3_4,white,0.03484986199137212,0.007613245421422071,0.014921961025987258,0.01992790096538486,0.04977182301735938,state
ME,uninsured,wk3_4,asian,0.02998207707690438,0.03818625694619355,0.07484506361453935,-0.04486298653763497,0.10482714069144373,state
ME,uninsured,wk3_4,black,0.004242330662679517,0.005294882999957214,0.01037797067991614,-0.006135640017236622,0.014620301342595655,state
ME,uninsured,wk3_4,hispanic,0.05720087395908691,0.03078811435944027,0.06034470414450293,-0.003143830185416016,0.11754557810358984,state
ME,uninsured,wk3_4,other,0.050392610674271004,0.03199339547638683,0.06270705513371817,-0.012314444459447169,0.11309966580798918,state
ME,uninsured,wk3_4,white,0.07563121251657208,0.012448260870742463,0.024398591306655226,0.051232621209916854,0.1000298038232273,state
